"participant";"item_no";"item_name";"list";"condition";"about1";"about2";"cer";"pair";"verb"
"003708";"t1";"realize1.1";1;"c";0.924444444;0.074444444;1;"realize1";"realize"
"003708";"t4";"notice1.1";1;"nc";0.884444444;0.204444444;0;"notice1";"notice"
"003708";"t5";"discover1.2";1;"c";0.821111111;0.175555556;1;"discover1";"discover"
"003708";"t8";"aware1.1";1;"nc";1;0;0.962222222;"aware1";"aware"
"003708";"t9";"know1.2";1;"c";1;0.275555556;0.503333333;"know1";"know"
"070539";"t13";"discover3.1";5;"nc";1;1;0.615740741;"discover3";"discover"
"070539";"t18";"realize3.2";5;"c";1;1;1;"realize3";"realize"
"070539";"t21";"notice3.1";5;"nc";1;0;0;"notice3";"notice"
"070539";"t26";"aware3.2";5;"c";0;1;0.823148148;"aware3";"aware"
"070539";"t29";"know3.1";5;"nc";1;0;0.762037037;"know3";"know"
"157628";"t10";"know1.1";2;"nc";0.9;0.544444444;0.267592593;"know1";"know"
"157628";"t2";"realize1.2";2;"nc";0.285185185;0.89537037;0.409259259;"realize1";"realize"
"157628";"t3";"notice1.2";2;"c";0.750925926;0.418518519;1;"notice1";"notice"
"157628";"t6";"discover1.1";2;"nc";0.722222222;0.714814815;0.377777778;"discover1";"discover"
"157628";"t7";"aware1.2";2;"c";0.618518519;0.882407407;0.74537037;"aware1";"aware"
"187893";"t14";"discover3.2";6;"c";0.222916667;0.792361111;0.834722222;"discover3";"discover"
"187893";"t17";"realize3.1";6;"nc";0.303472222;0.701388889;0.6;"realize3";"realize"
"187893";"t22";"notice3.2";6;"c";0.5;0.5;0.954166667;"notice3";"notice"
"187893";"t25";"aware3.1";6;"nc";0.384722222;0.6375;0.973611111;"aware3";"aware"
"187893";"t30";"know3.2";6;"c";0.215277778;0.767361111;1;"know3";"know"
"236500";"t11";"discover2.1";4;"nc";0.685833333;0.671935764;0.101354167;"discover2";"discover"
"236500";"t16";"realize2.2";4;"c";0.529817708;0.496883681;0.499796007;"realize2";"realize"
"236500";"t19";"notice2.1";4;"nc";1;1;0;"notice2";"notice"
"236500";"t24";"aware2.2";4;"c";0.871414931;0.850846354;0.495577257;"aware2";"aware"
"236500";"t27";"know2.1";4;"nc";0.296006944;1;0;"know2";"know"
"362108";"t10";"know1.1";2;"nc";0.158333355;0.237963005;0.68240745;"know1";"know"
"362108";"t2";"realize1.2";2;"nc";0.106481481;0.635185171;0.62037037;"realize1";"realize"
"362108";"t3";"notice1.2";2;"c";0.256481524;0.234259288;0.612963005;"notice1";"notice"
"362108";"t6";"discover1.1";2;"nc";1;0;0.564814815;"discover1";"discover"
"362108";"t7";"aware1.2";2;"c";0;1;0.913888861;"aware1";"aware"
"400560";"t14";"discover3.2";6;"c";1;1;0.094361979;"discover3";"discover"
"400560";"t17";"realize3.1";6;"nc";1;0.996037326;0;"realize3";"realize"
"400560";"t22";"notice3.2";6;"c";0.501462674;1;0.123550347;"notice3";"notice"
"400560";"t25";"aware3.1";6;"nc";1;1;1;"aware3";"aware"
"400560";"t30";"know3.2";6;"c";1;1;1;"know3";"know"
"413369";"t13";"discover3.1";5;"nc";0.528645833;0.53515625;0.01171875;"discover3";"discover"
"413369";"t18";"realize3.2";5;"c";0.671875;0.516927083;0.33203125;"realize3";"realize"
"413369";"t21";"notice3.1";5;"nc";0.8671875;0.30859375;0.005208333;"notice3";"notice"
"413369";"t26";"aware3.2";5;"c";0.220052083;0.919270833;1;"aware3";"aware"
"413369";"t29";"know3.1";5;"nc";0.915364583;0.227864583;0;"know3";"know"
"500658";"t12";"discover2.2";3;"c";0.525925926;0.834259259;1;"discover2";"discover"
"500658";"t15";"realize2.1";3;"nc";0.732407407;0.501851852;0.375;"realize2";"realize"
"500658";"t20";"notice2.2";3;"c";0.306481481;0.957407407;1;"notice2";"notice"
"500658";"t23";"aware2.1";3;"nc";0.856481481;0.365740741;0.153703704;"aware2";"aware"
"500658";"t28";"know2.2";3;"c";0.6;0.892592593;1;"know2";"know"
"507771";"t11";"discover2.1";4;"nc";0.937962991;0.820370427;0;"discover2";"discover"
"507771";"t16";"realize2.2";4;"c";0.861111111;0.625;0.930555556;"realize2";"realize"
"507771";"t19";"notice2.1";4;"nc";0.884259259;0.878703788;0;"notice2";"notice"
"507771";"t24";"aware2.2";4;"c";0.687037079;0.676851838;0.928703732;"aware2";"aware"
"507771";"t27";"know2.1";4;"nc";0.33148151;0.95185188;0.240740741;"know2";"know"
"519304";"t11";"discover2.1";4;"nc";0.338541667;0.915364583;0.029947917;"discover2";"discover"
"519304";"t16";"realize2.2";4;"c";0.416666667;0.7734375;0.109375;"realize2";"realize"
"519304";"t19";"notice2.1";4;"nc";0.966145833;0.75390625;0;"notice2";"notice"
"519304";"t24";"aware2.2";4;"c";0.227864583;0.821614583;0.837239583;"aware2";"aware"
"519304";"t27";"know2.1";4;"nc";0.05859375;0.90234375;0.0078125;"know2";"know"
"553422";"t14";"discover3.2";6;"c";0.566666667;0.600925926;0.693169691;"discover3";"discover"
"553422";"t17";"realize3.1";6;"nc";0.637962963;0.5;0.286552828;"realize3";"realize"
"553422";"t22";"notice3.2";6;"c";0.433333333;0.819444444;0.78601921;"notice3";"notice"
"553422";"t25";"aware3.1";6;"nc";0.624074074;0.601851852;0.37620064;"aware3";"aware"
"553422";"t30";"know3.2";6;"c";0.542592593;0.835185185;0.774279616;"know3";"know"
"560421";"t10";"know1.1";2;"nc";0.054629644;0.782407407;0.840740769;"know1";"know"
"560421";"t2";"realize1.2";2;"nc";0.248148176;0.944444444;0.885185242;"realize1";"realize"
"560421";"t3";"notice1.2";2;"c";0.887963048;0.62037037;0.943518603;"notice1";"notice"
"560421";"t6";"discover1.1";2;"nc";0.878703788;0.598148134;0.848148205;"discover1";"discover"
"560421";"t7";"aware1.2";2;"c";0.803703732;0.713888875;0.862037094;"aware1";"aware"
"564396";"t10";"know1.1";2;"nc";0.774305556;0.276388889;0.275694444;"know1";"know"
"564396";"t2";"realize1.2";2;"nc";0.649305556;0.923611111;0.249305556;"realize1";"realize"
"564396";"t3";"notice1.2";2;"c";1;0.415277778;0.104861111;"notice1";"notice"
"564396";"t6";"discover1.1";2;"nc";0.629166667;0.854861111;0.140972222;"discover1";"discover"
"564396";"t7";"aware1.2";2;"c";0.4;0.843055556;0.928472222;"aware1";"aware"
"581788";"t11";"discover2.1";4;"nc";0.892742796;0.168089648;0;"discover2";"discover"
"581788";"t16";"realize2.2";4;"c";1;0;1;"realize2";"realize"
"581788";"t19";"notice2.1";4;"nc";0.445570971;0.569370331;0;"notice2";"notice"
"581788";"t24";"aware2.2";4;"c";0.916221985;0.233191035;0.965314835;"aware2";"aware"
"581788";"t27";"know2.1";4;"nc";0.236392743;1;0;"know2";"know"
"613333";"t14";"discover3.2";6;"c";0.997222194;0.606018561;0.99537037;"discover3";"discover"
"613333";"t17";"realize3.1";6;"nc";0.175925926;0.916203675;0.093981496;"realize3";"realize"
"613333";"t22";"notice3.2";6;"c";0.584259245;0.796759288;0.725000028;"notice3";"notice"
"613333";"t25";"aware3.1";6;"nc";0.693518533;0.564351894;0.697685171;"aware3";"aware"
"613333";"t30";"know3.2";6;"c";0.503240727;0.639814801;1;"know3";"know"
"633600";"t1";"realize1.1";1;"c";0.861111111;0.566666709;0.589814857;"realize1";"realize"
"633600";"t4";"notice1.1";1;"nc";0.804629714;0.601851852;0;"notice1";"notice"
"633600";"t5";"discover1.2";1;"c";0.823148233;0.551851838;0;"discover1";"discover"
"633600";"t8";"aware1.1";1;"nc";0.833333333;0.843518575;0.003703718;"aware1";"aware"
"633600";"t9";"know1.2";1;"c";0.58148151;0.737037023;0.002777771;"know1";"know"
"683716";"t1";"realize1.1";1;"c";0.993333333;0.998888889;0.905555556;"realize1";"realize"
"683716";"t4";"notice1.1";1;"nc";0.978888889;0.612222222;0.152222222;"notice1";"notice"
"683716";"t5";"discover1.2";1;"c";0.98;0.941111111;0.714444444;"discover1";"discover"
"683716";"t8";"aware1.1";1;"nc";0.936666667;0.631111111;0.335555556;"aware1";"aware"
"683716";"t9";"know1.2";1;"c";0.977777778;0.975555556;0.074444444;"know1";"know"
"732885";"t13";"discover3.1";5;"nc";1;1;0.007703993;"discover3";"discover"
"732885";"t18";"realize3.2";5;"c";1;1;0;"realize3";"realize"
"732885";"t21";"notice3.1";5;"nc";1;0;0.49015191;"notice3";"notice"
"732885";"t26";"aware3.2";5;"c";0.621770833;1;1;"aware3";"aware"
"732885";"t29";"know3.1";5;"nc";1;0.976085069;0;"know3";"know"
"736907";"t11";"discover2.1";4;"nc";0.84375;0.37109375;0.3671875;"discover2";"discover"
"736907";"t16";"realize2.2";4;"c";0.32421875;0.91796875;0.69140625;"realize2";"realize"
"736907";"t19";"notice2.1";4;"nc";0.302083333;0.759114583;0.069010417;"notice2";"notice"
"736907";"t24";"aware2.2";4;"c";0.880208333;0.212239583;0.7109375;"aware2";"aware"
"736907";"t27";"know2.1";4;"nc";0.075520833;0.817708333;0.298177083;"know2";"know"
"835491";"t12";"discover2.2";3;"c";0.868518519;0.606481481;0.822222222;"discover2";"discover"
"835491";"t15";"realize2.1";3;"nc";0.896296296;0.333333333;0.732407407;"realize2";"realize"
"835491";"t20";"notice2.2";3;"c";0.285185185;0.900925926;1;"notice2";"notice"
"835491";"t23";"aware2.1";3;"nc";0.555555556;0.70462963;0.2;"aware2";"aware"
"835491";"t28";"know2.2";3;"c";0;1;1;"know2";"know"
"869568";"t1";"realize1.1";1;"c";0.689814815;0.75;1;"realize1";"realize"
"869568";"t4";"notice1.1";1;"nc";0.577777778;0.401851852;0;"notice1";"notice"
"869568";"t5";"discover1.2";1;"c";0.778703704;0.610185185;0.133333333;"discover1";"discover"
"869568";"t8";"aware1.1";1;"nc";0.687037037;0.280555556;0;"aware1";"aware"
"869568";"t9";"know1.2";1;"c";0.802777778;0.219444444;1;"know1";"know"
"942839";"t13";"discover3.1";5;"nc";0.827777778;0.823148148;0.497222222;"discover3";"discover"
"942839";"t18";"realize3.2";5;"c";1;1;0.818518519;"realize3";"realize"
"942839";"t21";"notice3.1";5;"nc";0.805555556;0.277777778;0.211111111;"notice3";"notice"
"942839";"t26";"aware3.2";5;"c";0.766666667;0.778703704;1;"aware3";"aware"
"942839";"t29";"know3.1";5;"nc";0.819444444;0.817592593;0.508333333;"know3";"know"
"946378";"t12";"discover2.2";3;"c";0.856481481;0.683333362;0.896296325;"discover2";"discover"
"946378";"t15";"realize2.1";3;"nc";0.946296268;0.685185185;0.904629601;"realize2";"realize"
"946378";"t20";"notice2.2";3;"c";0.92314812;0.671296296;1;"notice2";"notice"
"946378";"t23";"aware2.1";3;"nc";0.899999972;0.825925898;1;"aware2";"aware"
"946378";"t28";"know2.2";3;"c";0.877777806;0.659259302;0.777777778;"know2";"know"
"952110";"t14";"discover3.2";6;"c";0.97225825;0.63061595;0.636018753;"discover3";"discover"
"952110";"t17";"realize3.1";6;"nc";0.983605226;0.722185771;0.637818019;"realize3";"realize"
"952110";"t22";"notice3.2";6;"c";0.673887491;0.993958791;0.901907841;"notice3";"notice"
"952110";"t25";"aware3.1";6;"nc";0.992996216;0.786459049;0.935025374;"aware3";"aware"
"952110";"t30";"know3.2";6;"c";0.832646211;0.957364241;0.15788281;"know3";"know"
